Freq.	Vn001)/IL1)
1.20204321092398e+00	-2.11104440682070e+01 1.08182670932399e-02
1.20481143529246e+00	-2.11104440674931e+01 1.08431808314531e-02
1.20758603469478e+00	-2.11104440667758e+01 1.08681519443195e-02
1.21036702381221e+00	-2.11104440660553e+01 1.08931805639689e-02
1.21315441735985e+00	-2.11104440653314e+01 1.09182668228355e-02
1.21594823008667e+00	-2.11104440646041e+01 1.09434108536587e-02
1.21874847677559e+00	-2.11104440638736e+01 1.09686127894832e-02
1.22155517224359e+00	-2.11104440631396e+01 1.09938727636604e-02
1.22436833134179e+00	-2.11104440624023e+01 1.10191909098485e-02
1.22718796895549e+00	-2.11104440616616e+01 1.10445673620139e-02
1.23001410000426e+00	-2.11104440609174e+01 1.10700022544312e-02
1.23284673944206e+00	-2.11104440601699e+01 1.10954957216842e-02
1.23568590225726e+00	-2.11104440594188e+01 1.11210478986670e-02
1.23853160347276e+00	-2.11104440586643e+01 1.11466589205840e-02
1.24138385814605e+00	-2.11104440579064e+01 1.11723289229511e-02
1.24424268136931e+00	-2.11104440571449e+01 1.11980580415962e-02
1.24710808826946e+00	-2.11104440563799e+01 1.12238464126601e-02
1.24998009400827e+00	-2.11104440556114e+01 1.12496941725972e-02
1.25285871378241e+00	-2.11104440548394e+01 1.12756014581758e-02
1.25574396282357e+00	-2.11104440540638e+01 1.13015684064796e-02
1.25863585639849e+00	-2.11104440532846e+01 1.13275951549078e-02
1.26153440980910e+00	-2.11104440525019e+01 1.13536818411759e-02
1.26443963839253e+00	-2.11104440517155e+01 1.13798286033167e-02
1.26735155752127e+00	-2.11104440509255e+01 1.14060355796808e-02
1.27027018260319e+00	-2.11104440501318e+01 1.14323029089376e-02
1.27319552908165e+00	-2.11104440493345e+01 1.14586307300757e-02
1.27612761243556e+00	-2.11104440485335e+01 1.14850191824036e-02
1.27906644817950e+00	-2.11104440477288e+01 1.15114684055510e-02
1.28201205186377e+00	-2.11104440469204e+01 1.15379785394688e-02
1.28496443907448e+00	-2.11104440461083e+01 1.15645497244305e-02
1.28792362543362e+00	-2.11104440452925e+01 1.15911821010324e-02
1.29088962659918e+00	-2.11104440444728e+01 1.16178758101947e-02
1.29386245826521e+00	-2.11104440436494e+01 1.16446309931622e-02
1.29684213616187e+00	-2.11104440428222e+01 1.16714477915048e-02
1.29982867605558e+00	-2.11104440419912e+01 1.16983263471185e-02
1.30282209374905e+00	-2.11104440411564e+01 1.17252668022261e-02
1.30582240508139e+00	-2.11104440403177e+01 1.17522692993780e-02
1.30882962592819e+00	-2.11104440394751e+01 1.17793339814527e-02
1.31184377220160e+00	-2.11104440386287e+01 1.18064609916579e-02
1.31486485985039e+00	-2.11104440377783e+01 1.18336504735310e-02
1.31789290486010e+00	-2.11104440369240e+01 1.18609025709401e-02
1.32092792325304e+00	-2.11104440360658e+01 1.18882174280844e-02
1.32396993108847e+00	-2.11104440352036e+01 1.19155951894953e-02
1.32701894446258e+00	-2.11104440343375e+01 1.19430360000371e-02
1.33007497950866e+00	-2.11104440334674e+01 1.19705400049077e-02
1.33313805239715e+00	-2.11104440325932e+01 1.19981073496392e-02
1.33620817933572e+00	-2.11104440317150e+01 1.20257381800991e-02
1.33928537656937e+00	-2.11104440308328e+01 1.20534326424906e-02
1.34236966038053e+00	-2.11104440299465e+01 1.20811908833538e-02
1.34546104708909e+00	-2.11104440290561e+01 1.21090130495661e-02
1.34855955305255e+00	-2.11104440281616e+01 1.21368992883434e-02
1.35166519466607e+00	-2.11104440272630e+01 1.21648497472402e-02
1.35477798836258e+00	-2.11104440263602e+01 1.21928645741512e-02
1.35789795061283e+00	-2.11104440254533e+01 1.22209439173115e-02
1.36102509792553e+00	-2.11104440245422e+01 1.22490879252977e-02
1.36415944684738e+00	-2.11104440236269e+01 1.22772967470285e-02
1.36730101396321e+00	-2.11104440227074e+01 1.23055705317654e-02
1.37044981589604e+00	-2.11104440217836e+01 1.23339094291139e-02
1.37360586930714e+00	-2.11104440208556e+01 1.23623135890238e-02
1.37676919089620e+00	-2.11104440199233e+01 1.23907831617905e-02
1.37993979740133e+00	-2.11104440189866e+01 1.24193182980551e-02
1.38311770559920e+00	-2.11104440180457e+01 1.24479191488062e-02
1.38630293230512e+00	-2.11104440171005e+01 1.24765858653794e-02
1.38949549437312e+00	-2.11104440161508e+01 1.25053185994595e-02
1.39269540869605e+00	-2.11104440151968e+01 1.25341175030803e-02
1.39590269220564e+00	-2.11104440142384e+01 1.25629827286255e-02
1.39911736187264e+00	-2.11104440132756e+01 1.25919144288302e-02
1.40233943470687e+00	-2.11104440123083e+01 1.26209127567810e-02
1.40556892775733e+00	-2.11104440113366e+01 1.26499778659169e-02
1.40880585811227e+00	-2.11104440103604e+01 1.26791099100305e-02
1.41205024289930e+00	-2.11104440093797e+01 1.27083090432686e-02
1.41530209928547e+00	-2.11104440083945e+01 1.27375754201327e-02
1.41856144447739e+00	-2.11104440074047e+01 1.27669091954803e-02
1.42182829572124e+00	-2.11104440064104e+01 1.27963105245257e-02
1.42510267030298e+00	-2.11104440054115e+01 1.28257795628403e-02
1.42838458554834e+00	-2.11104440044080e+01 1.28553164663539e-02
1.43167405882296e+00	-2.11104440033998e+01 1.28849213913556e-02
1.43497110753246e+00	-2.11104440023870e+01 1.29145944944941e-02
1.43827574912257e+00	-2.11104440013695e+01 1.29443359327790e-02
1.44158800107917e+00	-2.11104440003474e+01 1.29741458635815e-02
1.44490788092843e+00	-2.11104439993205e+01 1.30040244446352e-02
1.44823540623687e+00	-2.11104439982889e+01 1.30339718340370e-02
1.45157059461147e+00	-2.11104439972525e+01 1.30639881902478e-02
1.45491346369974e+00	-2.11104439962114e+01 1.30940736720934e-02
1.45826403118985e+00	-2.11104439951654e+01 1.31242284387655e-02
1.46162231481071e+00	-2.11104439941147e+01 1.31544526498223e-02
1.46498833233204e+00	-2.11104439930591e+01 1.31847464651895e-02
1.46836210156449e+00	-2.11104439919986e+01 1.32151100451610e-02
1.47174364035973e+00	-2.11104439909332e+01 1.32455435504000e-02
1.47513296661053e+00	-2.11104439898629e+01 1.32760471419396e-02
1.47853009825089e+00	-2.11104439887877e+01 1.33066209811837e-02
1.48193505325609e+00	-2.11104439877075e+01 1.33372652299081e-02
1.48534784964281e+00	-2.11104439866224e+01 1.33679800502609e-02
1.48876850546922e+00	-2.11104439855322e+01 1.33987656047638e-02
1.49219703883508e+00	-2.11104439844370e+01 1.34296220563127e-02
1.49563346788183e+00	-2.11104439833368e+01 1.34605495681787e-02
1.49907781079269e+00	-2.11104439822315e+01 1.34915483040089e-02
1.50253008579276e+00	-2.11104439811210e+01 1.35226184278271e-02
1.50599031114910e+00	-2.11104439800055e+01 1.35537601040350e-02
1.50945850517084e+00	-2.11104439788848e+01 1.35849734974129e-02
1.51293468620930e+00	-2.11104439777590e+01 1.36162587731206e-02
1.51641887265801e+00	-2.11104439766280e+01 1.36476160966980e-02
1.51991108295291e+00	-2.11104439754917e+01 1.36790456340667e-02
1.52341133557238e+00	-2.11104439743502e+01 1.37105475515299e-02
1.52691964903733e+00	-2.11104439732035e+01 1.37421220157741e-02
1.53043604191136e+00	-2.11104439720514e+01 1.37737691938696e-02
1.53396053280079e+00	-2.11104439708941e+01 1.38054892532715e-02
1.53749314035482e+00	-2.11104439697314e+01 1.38372823618203e-02
1.54103388326557e+00	-2.11104439685633e+01 1.38691486877433e-02
1.54458278026822e+00	-2.11104439673899e+01 1.39010883996551e-02
1.54813985014108e+00	-2.11104439662111e+01 1.39331016665586e-02
1.55170511170574e+00	-2.11104439650268e+01 1.39651886578459e-02
1.55527858382710e+00	-2.11104439638370e+01 1.39973495432993e-02
1.55886028541353e+00	-2.11104439626418e+01 1.40295844930919e-02
1.56245023541691e+00	-2.11104439614411e+01 1.40618936777889e-02
1.56604845283281e+00	-2.11104439602348e+01 1.40942772683482e-02
1.56965495670051e+00	-2.11104439590229e+01 1.41267354361214e-02
1.57326976610316e+00	-2.11104439578055e+01 1.41592683528548e-02
1.57689290016783e+00	-2.11104439565825e+01 1.41918761906900e-02
1.58052437806567e+00	-2.11104439553538e+01 1.42245591221652e-02
1.58416421901196e+00	-2.11104439541194e+01 1.42573173202161e-02
1.58781244226623e+00	-2.11104439528794e+01 1.42901509581763e-02
1.59146906713238e+00	-2.11104439516336e+01 1.43230602097788e-02
1.59513411295875e+00	-2.11104439503821e+01 1.43560452491566e-02
1.59880759913823e+00	-2.11104439491249e+01 1.43891062508439e-02
1.60248954510841e+00	-2.11104439478618e+01 1.44222433897766e-02
1.60617997035159e+00	-2.11104439465929e+01 1.44554568412936e-02
1.60987889439498e+00	-2.11104439453182e+01 1.44887467811375e-02
1.61358633681074e+00	-2.11104439440375e+01 1.45221133854558e-02
1.61730231721611e+00	-2.11104439427510e+01 1.45555568308014e-02
1.62102685527349e+00	-2.11104439414586e+01 1.45890772941341e-02
1.62475997069059e+00	-2.11104439401601e+01 1.46226749528210e-02
1.62850168322048e+00	-2.11104439388557e+01 1.46563499846376e-02
1.63225201266174e+00	-2.11104439375453e+01 1.46901025677690e-02
1.63601097885853e+00	-2.11104439362288e+01 1.47239328808107e-02
1.63977860170071e+00	-2.11104439349063e+01 1.47578411027691e-02
1.64355490112396e+00	-2.11104439335777e+01 1.47918274130634e-02
1.64733989710985e+00	-2.11104439322429e+01 1.48258919915255e-02
1.65113360968598e+00	-2.11104439309020e+01 1.48600350184017e-02
1.65493605892608e+00	-2.11104439295549e+01 1.48942566743532e-02
1.65874726495008e+00	-2.11104439282016e+01 1.49285571404576e-02
1.66256724792427e+00	-2.11104439268420e+01 1.49629365982092e-02
1.66639602806138e+00	-2.11104439254762e+01 1.49973952295203e-02
1.67023362562067e+00	-2.11104439241041e+01 1.50319332167222e-02
1.67408006090808e+00	-2.11104439227256e+01 1.50665507425661e-02
1.67793535427630e+00	-2.11104439213408e+01 1.51012479902241e-02
1.68179952612488e+00	-2.11104439199497e+01 1.51360251432900e-02
1.68567259690037e+00	-2.11104439185521e+01 1.51708823857806e-02
1.68955458709640e+00	-2.11104439171480e+01 1.52058199021362e-02
1.69344551725378e+00	-2.11104439157375e+01 1.52408378772221e-02
1.69734540796066e+00	-2.11104439143205e+01 1.52759364963293e-02
1.70125427985256e+00	-2.11104439128969e+01 1.53111159451753e-02
1.70517215361256e+00	-2.11104439114668e+01 1.53463764099056e-02
1.70909904997134e+00	-2.11104439100301e+01 1.53817180770942e-02
1.71303498970734e+00	-2.11104439085867e+01 1.54171411337448e-02
1.71697999364685e+00	-2.11104439071367e+01 1.54526457672917e-02
1.72093408266411e+00	-2.11104439056800e+01 1.54882321656009e-02
1.72489727768146e+00	-2.11104439042166e+01 1.55239005169711e-02
1.72886959966939e+00	-2.11104439027465e+01 1.55596510101346e-02
1.73285106964669e+00	-2.11104439012696e+01 1.55954838342583e-02
1.73684170868058e+00	-2.11104438997858e+01 1.56313991789448e-02
1.74084153788677e+00	-2.11104438982952e+01 1.56673972342331e-02
1.74485057842960e+00	-2.11104438967978e+01 1.57034781906003e-02
1.74886885152216e+00	-2.11104438952934e+01 1.57396422389618e-02
1.75289637842639e+00	-2.11104438937821e+01 1.57758895706728e-02
1.75693318045320e+00	-2.11104438922639e+01 1.58122203775290e-02
1.76097927896257e+00	-2.11104438907386e+01 1.58486348517681e-02
1.76503469536366e+00	-2.11104438892063e+01 1.58851331860703e-02
1.76909945111495e+00	-2.11104438876669e+01 1.59217155735596e-02
1.77317356772434e+00	-2.11104438861205e+01 1.59583822078047e-02
1.77725706674925e+00	-2.11104438845669e+01 1.59951332828200e-02
1.78134996979675e+00	-2.11104438830061e+01 1.60319689930670e-02
1.78545229852367e+00	-2.11104438814382e+01 1.60688895334547e-02
1.78956407463671e+00	-2.11104438798630e+01 1.61058950993411e-02
1.79368531989257e+00	-2.11104438782805e+01 1.61429858865342e-02
1.79781605609804e+00	-2.11104438766908e+01 1.61801620912927e-02
1.80195630511013e+00	-2.11104438750937e+01 1.62174239103274e-02
1.80610608883621e+00	-2.11104438734893e+01 1.62547715408021e-02
1.81026542923406e+00	-2.11104438718774e+01 1.62922051803348e-02
1.81443434831207e+00	-2.11104438702582e+01 1.63297250269983e-02
1.81861286812929e+00	-2.11104438686314e+01 1.63673312793218e-02
1.82280101079556e+00	-2.11104438669972e+01 1.64050241362915e-02
1.82699879847167e+00	-2.11104438653554e+01 1.64428037973521e-02
1.83120625336941e+00	-2.11104438637061e+01 1.64806704624073e-02
1.83542339775175e+00	-2.11104438620491e+01 1.65186243318215e-02
1.83965025393292e+00	-2.11104438603845e+01 1.65566656064202e-02
1.84388684427853e+00	-2.11104438587123e+01 1.65947944874916e-02
1.84813319120570e+00	-2.11104438570323e+01 1.66330111767874e-02
1.85238931718319e+00	-2.11104438553446e+01 1.66713158765239e-02
1.85665524473149e+00	-2.11104438536490e+01 1.67097087893832e-02
1.86093099642296e+00	-2.11104438519457e+01 1.67481901185139e-02
